Year,Doy,AXX0001,AXX0002,AXX0003,AXX0004,AXX0005,AXX0006,AXX0007,AXX0008,AXX0009,AXX0010,AXX0011,AXX0012,AXX0013,AXX0014,AXX0015,AXX0016,AXX0017,AXX0018,AXX0019,AXX0020,AXX0021,AXX0022,AXX0023,AXX0024,AXX0025,AXX0026,AXX0027,AXX0028,AXX0029,AXX0030,AXX0031,AXX0032,AXX0033,AXX0034,AXX0035,AXX0036,AXX0037,AXX0038,AXX0039,AXX0040,AXX0041,AXX0042,AXX0043,AXX0044,AXX0045,AXX0046,AXX0047,AXX0048,AXX0049,AXX0050,AXX0051,AXX0052,AXX0053,AXX0054,AXX0055,AXX0056,AXX0057,AXX0058,AXX0059,AXX0060,AXX0061,AXX0062,AXX0063,AXX0064,AXX0065,AXX0066,AXX0067,AXX0068,AXX0069,AXX0070,AXX0071,AXX0072,AXX0073,AXX0074,AXX0075,AXX0076,AXX0077,AXX0078,AXX0079,AXX0080,AXX0081,AXX0082,AXX0083,AXX0084,AXX0085,AXX0086,AXX0087,AXX0088,AXX0089,AXX0090,AXX0091,AXX0092,AXX0093,AXX0094,AXX0095,AXX0096,AXX0097,AXX0098,AXX0099,AXX0100,AXX0101,AXX0102,AXX0103,AXX0104,AXX0105,AXX0106,AXX0107,AXX0108,AXX0109,AXX0110,AXX0111,AXX0112,AXX0113,AXX0114,AXX0115,AXX0116,AXX0117,AXX0118
2014,322,40968.6054688,5.09052276611,12.0775051117,-11.9898719788,0.115719877183,0.0842853710055,0.923286020756,0.191993907094,0.0130112515762,0.0111233023927,11.7469930649,3.56781983376,257.0,0.0,0.0,0.0,0.0,25.3712615967,24.3984375,26.1442527771,21.734375,0.0,6.65994739532,0.0,25.0899715424,24.703125,24.0234375,23.24609375,0.0668187737465,4.946393013,-1.10681772232,0.0,-0.0034463882912,-0.994359433651,5390.62060547,1883.65161133,50.7513122559,1563.97509766,34.0956230164,217.159408569,425.708007812,405.75302124,0.136724203825,3.90644145012,12.6167030334,0.127828747034,3.90235543251,13.1308250427,0.114788986742,3.91777586937,17.3810634613,0.0,-0.000697706185747,15.6271467209,0.00654130382463,0.00621126685292,0.00552510330454,2.0,4.28958511353,0.208511129022,-13.2666063309,-11.8854856491,-12.4456367493,-13.4419651031,22.5990524292,8.54055118561,-14.8724250793,0.0323249138892,766.323120117,24.9603710175,765.779785156,26.6553707123,0.960164308548,8.74759292603,4.0,2.0,0.0339447334409,0.0,-10.0252513885,-9.04830551147,-5.56928682327,20.7449531555,22.0322742462,8.52874183655,-14.8411397934,0.40288606286,827.0,25.0,828.0,29.0,0.963402986526,9.0,3.0,54.8119392395,18.0529346466,18.3058586121,18.0193061829,18.2254257202,15.6306228638,14.4583587646,27.1715908051,25.7845802307,27.9360160828,25.689573288,23.4315376282,27.0116539001,27.3967533112,14.9320926666,14.6870098114,14.0492696762,26.366727829,28.6137504578,27.8827610016,25.7303886414,26.9562301636,15.9771642685,14.8641061783,14.2497262955
2014,323,40968.6054688,5.09111022949,12.0774946213,-11.9899148941,0.115702614188,0.0840514525771,0.922884821892,0.191993907094,0.0131944566965,0.0110698724166,11.7121925354,3.53829526901,257.0,0.0,0.0,0.0,0.0,15.8522348404,15.2445049286,16.3354911804,13.5799598694,0.0,6.7642621994,0.0,14.6357421875,14.41015625,14.013671875,13.5602216721,0.0668350681663,4.94643163681,-1.03487694263,0.0,-0.00344005553052,-0.924109816551,5384.625,1868.34790039,51.3334693909,1563.53759766,34.3495178223,216.789596558,409.642608643,394.630554199,0.140993237495,3.90639615059,12.6870098114,0.130632653832,3.90212464333,13.1532869339,0.115967079997,3.9180366993,17.4700927734,0.0,-0.00071186380228,15.7053070068,0.00682549318299,0.00648531643674,0.00551063055173,2.0,4.28972291946,0.210526004434,-12.9252462387,-11.551815033,-12.1036376953,-13.1167230606,22.5981845856,8.54128837585,-14.8743419647,0.0319133810699,752.865722656,24.0481472015,752.328918457,26.489074707,0.959379673004,8.74611091614,4.0,1.16666662693,0.0339301452041,0.0,-5.8480052948,-5.27804613113,-5.41734266281,12.1007499695,12.8525867462,4.97499370575,-8.65741443634,0.23501752317,482.416656494,14.5833330154,483.0,16.9166660309,0.561995029449,5.25,1.75,54.8047332764,18.3790378571,18.1466121674,18.3445587158,18.0666847229,20.3486843109,17.7374534607,25.3115749359,25.5740890503,28.1470966339,26.8409442902,24.3685340881,27.9977092743,27.7512245178,14.1916484833,14.7412128448,14.4767513275,26.3109550476,28.6433238983,27.8713359833,25.8979377747,26.9787693024,15.935669899,14.7641334534,14.1869850159
2014,324,41351.0859375,5.09079313278,12.0775375366,-11.9898824692,0.11599149555,0.083790615201,0.922722876072,0.191993907094,0.0132020907477,0.0110825998709,11.6636381149,3.48957276344,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7961101532,0.0,0.0,0.0,0.0,0.0,0.0668157115579,4.9464302063,-0.981191217899,0.0,-0.00343425688334,-0.868139207363,5377.87255859,1849.86096191,51.56483078,1562.12744141,34.3282012939,216.217071533,391.033538818,376.013305664,0.14417617023,3.90650248528,12.7427434921,0.13167335093,3.90202212334,13.1757526398,0.118870124221,3.91790437698,17.5223445892,0.0,-0.000720599549823,15.7024250031,0.00699650635943,0.00663260929286,0.00565101578832,2.0,4.28981351852,0.20933188498,-12.9437646866,-11.5633964539,-12.1116065979,-13.1144704819,22.5978450775,8.5422000885,-14.8783521652,0.0324109122157,760.085205078,25.3470363617,759.528320312,26.6533336639,0.960038542747,8.74857997894,4.75481462479,0.0,0.0339517407119,0.0,0.0,0.0,-5.2404665947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7641410828,18.3812599182,17.9722309113,18.3472499847,17.8931999207,20.171792984,19.132226944,23.9071445465,24.6891613007,36.2467727661,31.0515880585,29.9223594666,23.7219161987,27.7928638458,12.7778959274,14.7569065094,13.8364639282,26.2883644104,28.6537761688,27.8689441681,25.9595870972,29.4345798492,16.0246963501,14.8837814331,14.3434314728
2014,325,41253.9492188,5.09122657776,12.0776805878,-11.9901037216,0.115863151848,0.0820712819695,0.92279458046,0.191993907094,0.0130519643426,0.0113293863833,11.5543384552,3.37300276756,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.11803674698,0.0,0.0,0.0,0.0,0.0,0.0668663531542,4.94645500183,-1.07505977154,0.0,-0.00345025793649,-0.96018654108,5371.74755859,1847.1060791,52.9884376526,1558.06225586,34.306098938,216.116348267,388.456878662,373.126800537,0.109182171524,3.90667676926,11.8972225189,0.159896433353,3.90241670609,13.5966100693,0.149994343519,3.91738533974,18.5494003296,0.0,-0.000821962021291,16.1505680084,0.00313853961416,0.00759885879233,0.00744661688805,2.0,4.28962659836,0.210081532598,-12.9807100296,-11.6034898758,-12.143447876,-13.1808986664,22.5980110168,8.54163646698,-14.8771123886,0.0320203974843,761.827880859,25.4025325775,761.346374512,26.7250003815,0.960128247738,8.74506187439,5.0,0.0,0.0339424200356,0.0,0.0,0.0,-5.42401123047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7607841492,18.3701763153,17.8511257172,18.3352012634,17.7714653015,20.2144069672,19.5143680573,23.1329498291,23.0996742249,21.9632778168,23.0933074951,19.3373775482,39.4233512878,18.5642528534,15.009016037,14.1389684677,15.6427192688,26.0432777405,28.5184326172,26.8900642395,25.948513031,28.7580127716,13.6948394775,12.9910087585,12.5477790833
2014,326,40968.6054688,5.0906829834,12.0778474808,-11.9901914597,0.11568030715,0.08033054322,0.922803997993,0.191993907094,0.0133013278246,0.0110266236588,11.510725975,3.3283264637,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.19998979568,0.0,0.0,0.0,0.0,0.0,0.0668292045593,4.94646835327,-1.04315567017,0.0,-0.0033869270701,-0.92955249548,5362.51171875,1848.12072754,52.9046096802,1559.27587891,34.3102493286,216.075012207,389.045776367,374.418792725,0.112139180303,3.90662789345,11.9346590042,0.15949177742,3.90240931511,13.5660142899,0.14609144628,3.91730117798,18.5545730591,0.0,-0.000824371818453,16.2038879395,0.00390868354589,0.00761609245092,0.00703556463122,2.0,4.28969478607,0.209717988968,-13.0306138992,-11.6428098679,-12.1851739883,-13.2303476334,22.5977153778,8.54183959961,-14.8761749268,0.0326415263116,749.49609375,25.0870361328,748.885742188,26.3340740204,0.960022449493,8.74777793884,5.60370349884,0.0,0.0339826755226,0.0,0.0,0.0,-5.25408172607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.75025177,18.3664569855,17.720998764,18.3317661285,17.6416416168,20.1436786652,19.432767868,21.9629592896,22.3309383392,19.3476047516,22.6674423218,17.9941310883,44.5833473206,17.504699707,14.1814823151,13.4178581238,14.9477977753,26.332950592,28.5523204803,27.7255954742,26.007062912,26.8258247375,13.5171127319,13.381819725,12.2374668121
2014,327,40968.6054688,5.09042787552,12.0778312683,-11.9902114868,0.115774288774,0.0800591334701,0.922694683075,0.191993907094,0.0132428081706,0.0111156692728,11.4843130112,3.30379891396,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.23145198822,0.0,0.0,0.0,0.0,0.0,0.0668299719691,4.94650840759,-1.01366746426,0.0,-0.00342334317975,-0.900949180126,5352.33740234,1843.03076172,52.9724464417,1553.7253418,34.333278656,215.910202026,383.795074463,368.328399658,0.116395950317,3.90671777725,12.0154905319,0.157687842846,3.90246915817,13.5229673386,0.144933760166,3.91721057892,18.4801616669,0.0,-0.000846211099997,16.1876888275,0.00482466444373,0.00759372068569,0.00675039924681,2.0,4.28965520859,0.2092949301,-13.0749349594,-11.6836700439,-12.2281370163,-13.2810764313,22.597650528,8.54146575928,-14.8760166168,0.0319315232337,768.723876953,24.9629631042,768.201477051,26.9337043762,0.959763288498,8.74518489838,6.0,0.0,0.0339398011565,0.0,0.0,0.0,-5.09909057617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7389907837,18.3660488129,17.6031894684,18.3311595917,17.5242767334,20.1500701904,19.4029769897,20.9585170746,21.5321292877,33.6130104065,30.2040271759,28.1267433167,23.6913490295,28.4642620087,13.6225061417,14.5425281525,13.6427593231,26.2398834229,28.5491409302,27.700138092,26.0447444916,26.819393158,14.4923725128,14.418170929,12.4548997879
2014,328,40968.6054688,5.08970689774,12.0778722763,-11.9901628494,0.115702562034,0.0799657851458,0.922713220119,0.191993907094,0.0132224485278,0.0110927727073,11.4629058838,3.28474712372,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28522920609,0.0,0.0,0.0,0.0,0.0,0.066846780479,4.94653177261,-0.966653525829,0.0,-0.00341226020828,-0.859023630619,5339.61523438,1847.01708984,52.8326950073,1555.44360352,34.3392753601,215.704421997,388.264190674,372.748657227,0.120085224509,3.90668845177,12.0569076538,0.156708389521,3.90240240097,13.4748725891,0.140239834785,3.91734981537,18.468503952,0.0,-0.000820002984256,16.2058181763,0.00509321782738,0.00755448872223,0.00662837782875,2.0,4.28973960876,0.210160180926,-13.1435966492,-11.7535991669,-12.2892827988,-13.3527708054,22.5978565216,8.54151535034,-14.8753528595,0.031583275646,757.692382812,25.1709251404,757.127380371,26.3648147583,0.960406005383,8.74666690826,6.0,0.0,0.0339534915984,0.0,0.0,0.0,-4.92464590073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7250747681,18.3705425262,17.5077209473,18.3357200623,17.4293003082,20.2819461823,19.3599224091,20.1309204102,20.9048404694,26.3221263885,24.6813678741,22.006149292,27.6448345184,29.4310016632,14.4141454697,14.7304811478,13.6548604965,26.2279129028,28.514333725,27.6806564331,26.0957069397,26.7801322937,15.4923019409,14.5398216248,12.878572464
2014,329,40968.6054688,5.09065198898,12.0778646469,-11.9902381897,0.11571405828,0.0828933864832,0.922556698322,0.191993907094,0.0133573040366,0.0111182145774,11.4862232208,3.30894136429,397.989624023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33754062653,0.0,0.0,0.0,0.0,0.0,0.0668027326465,4.94649267197,-0.905052542686,0.0,-0.00343337422237,-0.791698873043,5330.11035156,1845.21386719,52.713684082,1556.47851562,34.32629776,215.442642212,387.007415771,371.558990479,0.123789682984,3.90649294853,12.1496686935,0.153110742569,3.90239977837,13.4491262436,0.139072179794,3.91732430458,18.4411678314,0.0,-0.000832203484606,16.2192420959,0.0054734768346,0.00737996539101,0.00642357580364,2.0,4.28967285156,0.209054633975,-13.1607913971,-11.7714881897,-12.3056297302,-13.3682565689,22.5971641541,8.54038524628,-14.8716974258,0.0320309847593,754.041870117,23.7177772522,753.526123047,26.1275920868,0.961055397987,8.74666690826,6.0,0.0,0.0339415483177,0.0,0.0,0.0,-4.76718473434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7206840515,18.3666706085,17.4592990875,18.3315696716,17.380771637,20.2052173615,19.3910522461,19.7832069397,20.248966217,31.7692050934,29.5091457367,27.0755844116,25.4787807465,28.1327095032,13.7446842194,14.4904727936,14.1065320969,26.340549469,28.5502815247,27.6672878265,26.1606502533,26.79936409,15.5604352951,14.5077390671,13.5055093765
2014,330,40968.6054688,5.09081459045,12.0778894424,-11.990281105,0.115718305111,0.082997828722,0.922501385212,0.191993907094,0.013258070685,0.0109299458563,11.4743595123,3.29960036278,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.39618206024,0.0,0.0,0.0,0.0,0.0,0.06685667485,4.94650363922,-0.881291031837,0.0,-0.00335878133774,-0.770554661751,5318.22705078,1837.81030273,52.8497924805,1544.99255371,34.3298721313,215.267349243,379.430084229,363.431335449,0.127422481775,3.90660953522,12.2226343155,0.152438938618,3.90240478516,13.4282064438,0.137441128492,3.91728043556,18.4295196533,0.0,-0.00079921935685,16.2420578003,0.00582506740466,0.00737852789462,0.00621991278604,2.0,4.28968954086,0.210387006402,-13.224978447,-11.841753006,-12.3628902435,-13.4373731613,22.597410202,8.5410451889,-14.8743515015,0.0322751961648,759.521118164,25.343334198,758.968688965,26.3512954712,0.960290074348,8.74666690826,6.0,0.0,0.0339505597949,0.0,0.0,0.0,-4.59085416794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7320022583,18.3681697845,17.4415531158,18.3328170776,17.3628139496,20.2451705933,19.3650989532,19.6765060425,19.6266994476,27.2730960846,26.0140800476,23.3021583557,28.9921340942,27.3308753967,14.2120637894,14.3844909668,13.9051141739,26.2207126617,28.5527839661,27.6554317474,26.2091808319,26.7673816681,15.6240854263,14.4600896835,13.6236829758
2014,331,40968.609375,5.09107112885,12.0778551102,-11.9901971817,0.115660622716,0.0830422341824,0.922554254532,0.191993892193,0.0132248038426,0.0110637936741,11.4748048782,3.29802513123,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43790388107,0.0,0.0,0.0,0.0,0.0,0.0668368861079,4.9464969635,-0.838594555855,0.0,-0.00343447132036,-0.728030800819,5305.29492188,1837.8659668,52.9740638733,1546.97363281,34.3226165771,215.04989624,379.521331787,363.969268799,0.129681363702,3.90653467178,12.2924375534,0.151594758034,3.90248274803,13.4276351929,0.135514333844,3.9172039032,18.3948631287,0.0,-0.000844100606628,16.2477626801,0.00599610200152,0.00741508370265,0.00602914812043,2.0,4.28981637955,0.209476426244,-13.2648983002,-11.8787126541,-12.3993434906,-13.4765996933,22.5979347229,8.54137420654,-14.8756351471,0.0319885574281,758.837341309,24.9168205261,758.307128906,26.2363834381,0.960591435432,8.74768447876,6.0,0.0,0.0339752472937,0.0,0.0,0.0,-4.80397415161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7365036011,18.3680973053,17.4343719482,18.3332767487,17.3558120728,20.2841358185,19.3692207336,19.6198959351,19.4187030792,27.9457950592,26.3892822266,24.1601600647,26.8933849335,28.8393211365,14.0835514069,14.4448575974,13.5336074829,26.3338451385,28.5356693268,27.6303958893,26.261554718,26.7248802185,15.6973953247,14.4386301041,13.6772432327
